gene,n_cpg_1x,n_cpg_5x,n_cpg_10x,frac_5x,frac_10x
ENSSSCG00000000002,12,4,2,0.3333333333333333,0.16666666666666666
ENSSSCG00000000003,31,21,6,0.6774193548387096,0.1935483870967742
ENSSSCG00000000005,16,2,0,0.125,0.0
ENSSSCG00000000006,6,2,1,0.3333333333333333,0.16666666666666666
ENSSSCG00000000007,59,7,5,0.11864406779661017,0.0847457627118644
ENSSSCG00000000010,37,14,9,0.3783783783783784,0.24324324324324326
ENSSSCG00000000014,23,6,3,0.2608695652173913,0.13043478260869565
ENSSSCG00000000018,63,5,3,0.07936507936507936,0.047619047619047616
ENSSSCG00000000019,43,10,5,0.23255813953488372,0.11627906976744186
ENSSSCG00000000020,85,44,16,0.5176470588235295,0.18823529411764706
ENSSSCG00000000021,8,2,1,0.25,0.125
ENSSSCG00000000022,74,20,13,0.2702702702702703,0.17567567567567569
ENSSSCG00000000024,54,14,8,0.25925925925925924,0.14814814814814814
ENSSSCG00000000025,7,3,2,0.42857142857142855,0.2857142857142857
ENSSSCG00000000026,54,2,0,0.037037037037037035,0.0
ENSSSCG00000000028,6,2,1,0.3333333333333333,0.16666666666666666
ENSSSCG00000000029,36,6,5,0.16666666666666666,0.1388888888888889
ENSSSCG00000000031,10,3,0,0.3,0.0
ENSSSCG00000000033,21,4,1,0.19047619047619047,0.047619047619047616
ENSSSCG00000000034,31,5,1,0.16129032258064516,0.03225806451612903
ENSSSCG00000000035,5,1,0,0.2,0.0
ENSSSCG00000000036,27,9,1,0.3333333333333333,0.037037037037037035
ENSSSCG00000000037,12,0,0,0.0,0.0
ENSSSCG00000000038,33,15,7,0.45454545454545453,0.21212121212121213
ENSSSCG00000000039,27,10,5,0.37037037037037035,0.18518518518518517
ENSSSCG00000000040,4,2,2,0.5,0.5
ENSSSCG00000000045,10,2,0,0.2,0.0
ENSSSCG00000000046,2,1,0,0.5,0.0
ENSSSCG00000000050,9,3,3,0.3333333333333333,0.3333333333333333
ENSSSCG00000000058,10,3,0,0.3,0.0
ENSSSCG00000000059,19,5,3,0.2631578947368421,0.15789473684210525
ENSSSCG00000000061,4,1,1,0.25,0.25
ENSSSCG00000000062,9,3,1,0.3333333333333333,0.1111111111111111
ENSSSCG00000000063,3,1,0,0.3333333333333333,0.0
ENSSSCG00000000064,7,7,0,1.0,0.0
ENSSSCG00000000066,7,0,0,0.0,0.0
ENSSSCG00000000067,49,7,2,0.14285714285714285,0.04081632653061224
ENSSSCG00000000068,142,86,49,0.6056338028169014,0.34507042253521125
ENSSSCG00000000071,25,3,3,0.12,0.12
ENSSSCG00000000072,3,1,0,0.3333333333333333,0.0
ENSSSCG00000000074,14,7,5,0.5,0.35714285714285715
ENSSSCG00000000075,18,11,2,0.6111111111111112,0.1111111111111111
ENSSSCG00000000076,76,51,8,0.6710526315789473,0.10526315789473684
ENSSSCG00000000077,22,20,15,0.9090909090909091,0.6818181818181818
ENSSSCG00000000078,37,9,8,0.24324324324324326,0.21621621621621623
ENSSSCG00000000079,40,7,7,0.175,0.175
ENSSSCG00000000082,25,12,8,0.48,0.32
ENSSSCG00000000087,27,16,9,0.5925925925925926,0.3333333333333333
ENSSSCG00000000091,7,0,0,0.0,0.0
ENSSSCG00000000092,73,22,13,0.3013698630136986,0.1780821917808219
ENSSSCG00000000093,5,0,0,0.0,0.0
ENSSSCG00000000094,37,13,12,0.35135135135135137,0.32432432432432434
ENSSSCG00000000095,16,1,0,0.0625,0.0
ENSSSCG00000000097,17,13,5,0.7647058823529411,0.29411764705882354
ENSSSCG00000000103,4,1,0,0.25,0.0
ENSSSCG00000000104,18,6,3,0.3333333333333333,0.16666666666666666
ENSSSCG00000000105,9,0,0,0.0,0.0
ENSSSCG00000000106,36,9,3,0.25,0.08333333333333333
ENSSSCG00000000107,29,15,11,0.5172413793103449,0.3793103448275862
ENSSSCG00000000108,28,12,8,0.42857142857142855,0.2857142857142857
ENSSSCG00000000110,11,1,1,0.09090909090909091,0.09090909090909091
ENSSSCG00000000111,20,15,10,0.75,0.5
ENSSSCG00000000113,11,7,3,0.6363636363636364,0.2727272727272727
ENSSSCG00000000114,15,2,2,0.13333333333333333,0.13333333333333333
ENSSSCG00000000116,15,4,2,0.26666666666666666,0.13333333333333333
ENSSSCG00000000117,15,4,2,0.26666666666666666,0.13333333333333333
ENSSSCG00000000118,52,21,16,0.40384615384615385,0.3076923076923077
ENSSSCG00000000119,1,0,0,0.0,0.0
ENSSSCG00000000120,9,0,0,0.0,0.0
ENSSSCG00000000121,49,10,4,0.20408163265306123,0.08163265306122448
ENSSSCG00000000130,14,3,0,0.21428571428571427,0.0
ENSSSCG00000000131,33,11,8,0.3333333333333333,0.24242424242424243
ENSSSCG00000000133,6,2,2,0.3333333333333333,0.3333333333333333
ENSSSCG00000000135,31,18,16,0.5806451612903226,0.5161290322580645
ENSSSCG00000000136,2,0,0,0.0,0.0
ENSSSCG00000000137,7,1,1,0.14285714285714285,0.14285714285714285
ENSSSCG00000000138,25,11,2,0.44,0.08
ENSSSCG00000000139,7,1,1,0.14285714285714285,0.14285714285714285
ENSSSCG00000000141,4,0,0,0.0,0.0
ENSSSCG00000000142,15,4,0,0.26666666666666666,0.0
ENSSSCG00000000144,17,5,2,0.29411764705882354,0.11764705882352941
ENSSSCG00000000145,1,0,0,0.0,0.0
ENSSSCG00000000146,18,1,0,0.05555555555555555,0.0
ENSSSCG00000000148,1,1,0,1.0,0.0
ENSSSCG00000000151,3,1,0,0.3333333333333333,0.0
ENSSSCG00000000152,110,56,24,0.509090909090909,0.21818181818181817
ENSSSCG00000000156,68,64,60,0.9411764705882353,0.8823529411764706
ENSSSCG00000000158,2,0,0,0.0,0.0
ENSSSCG00000000159,15,2,0,0.13333333333333333,0.0
ENSSSCG00000000160,17,6,6,0.35294117647058826,0.35294117647058826
ENSSSCG00000000161,3,2,2,0.6666666666666666,0.6666666666666666
ENSSSCG00000000162,21,10,6,0.47619047619047616,0.2857142857142857
ENSSSCG00000000164,19,5,4,0.2631578947368421,0.21052631578947367
ENSSSCG00000000167,4,1,0,0.25,0.0
ENSSSCG00000000171,68,24,16,0.35294117647058826,0.23529411764705882
ENSSSCG00000000174,2,1,1,0.5,0.5
ENSSSCG00000000175,32,20,9,0.625,0.28125
ENSSSCG00000000176,9,4,0,0.4444444444444444,0.0
ENSSSCG00000000179,4,1,1,0.25,0.25
ENSSSCG00000000182,66,18,10,0.2727272727272727,0.15151515151515152
ENSSSCG00000000183,41,4,2,0.0975609756097561,0.04878048780487805
ENSSSCG00000000184,7,2,2,0.2857142857142857,0.2857142857142857
ENSSSCG00000000185,9,3,1,0.3333333333333333,0.1111111111111111
ENSSSCG00000000186,60,37,11,0.6166666666666667,0.18333333333333332
ENSSSCG00000000188,6,3,3,0.5,0.5
ENSSSCG00000000189,6,0,0,0.0,0.0
ENSSSCG00000000190,13,6,2,0.46153846153846156,0.15384615384615385
ENSSSCG00000000194,13,6,2,0.46153846153846156,0.15384615384615385
ENSSSCG00000000195,24,6,4,0.25,0.16666666666666666
ENSSSCG00000000197,25,5,1,0.2,0.04
ENSSSCG00000000198,21,9,0,0.42857142857142855,0.0
ENSSSCG00000000199,25,5,0,0.2,0.0
ENSSSCG00000000202,21,9,9,0.42857142857142855,0.42857142857142855
ENSSSCG00000000203,35,15,12,0.42857142857142855,0.34285714285714286
ENSSSCG00000000204,13,5,5,0.38461538461538464,0.38461538461538464
ENSSSCG00000000205,1,1,0,1.0,0.0
ENSSSCG00000000206,8,0,0,0.0,0.0
ENSSSCG00000000209,11,6,0,0.5454545454545454,0.0
ENSSSCG00000000211,49,2,0,0.04081632653061224,0.0
ENSSSCG00000000212,13,1,1,0.07692307692307693,0.07692307692307693
ENSSSCG00000000214,32,18,17,0.5625,0.53125
ENSSSCG00000000215,14,2,2,0.14285714285714285,0.14285714285714285
ENSSSCG00000000216,39,3,1,0.07692307692307693,0.02564102564102564
ENSSSCG00000000217,5,0,0,0.0,0.0
ENSSSCG00000000220,29,5,5,0.1724137931034483,0.1724137931034483
ENSSSCG00000000223,18,1,0,0.05555555555555555,0.0
ENSSSCG00000000228,63,11,7,0.1746031746031746,0.1111111111111111
ENSSSCG00000000231,18,12,9,0.6666666666666666,0.5
ENSSSCG00000000232,25,9,6,0.36,0.24
ENSSSCG00000000233,27,0,0,0.0,0.0
ENSSSCG00000000234,5,2,2,0.4,0.4
ENSSSCG00000000235,4,2,2,0.5,0.5
ENSSSCG00000000236,2,0,0,0.0,0.0
ENSSSCG00000000238,6,0,0,0.0,0.0
ENSSSCG00000000239,3,0,0,0.0,0.0
ENSSSCG00000000240,3,0,0,0.0,0.0
ENSSSCG00000000241,5,4,2,0.8,0.4
ENSSSCG00000000248,16,2,1,0.125,0.0625
ENSSSCG00000000249,30,3,0,0.1,0.0
ENSSSCG00000000250,3,1,1,0.3333333333333333,0.3333333333333333
