gene,log2FC,baseMean,shrunken_LFC
FKBP10,-5.410960751753509,34.130997043844616,-3.4464410423274967
ACTA2,-5.52269579506472,6.770794164709993,-1.907253596859284
PTGES,6.591967684809895,150.54054111764583,5.711375508237796
ZP2,-0.2868722392342361,1801.8394955761637,-0.28297293759803316
ARRDC3,-3.6151319760504506,74.35145420209513,-2.795396749684686
COL4A2,-4.43929506799008,3.944487721945496,-1.2004270691805499
TIA1,-4.583692380070436,701.3394232614727,-4.428549476084087
ZP4,-0.7510698379480011,16200.886101320646,-0.7499135187813963
TGIF1,-5.240922269187711,162.48093301337448,-4.582990302424025
GJA1,-4.296377065173469,4.922182166522681,-1.28619654528022
SPARC,-8.376939909248955,180.6298473500749,-7.413484805634937
ANXA6,-5.278421413326584,9.847032774360455,-2.1410925497976785
PXDN,-3.072532074680702,9.399632796790383,-1.2222498400525215
SYCN,1.6312601712250514,3573.976966494648,1.6199678398817363
FCGRT,-1.070249892692824,11.601667198854386,-0.46446090229986964
HK1,-4.674877513854892,6.491888229260125,-1.5847571060944112
TMEM98,-2.698295640194192,3.976349330859939,-0.7323691521595347
APP,-10.258011386174978,39.756200800278606,-6.827054719484874
PARP12,-0.5656125313801784,2741.984665266718,-0.56052504133044
ATF3,-2.713373148339913,4.266101707168586,-0.7607830239695004
ZP3,0.2056285167759343,65.00185636717698,0.15459441398473495
SLC39A1,-1.05692602332579,6.129723355465369,-0.3492758655038966
TIGAR,-15.11936575840116,621.9934933714225,-14.546012624192489
GYG1,5.452988527732095,79.52673329667677,4.272789024399149
MAGED1,-7.6681587698022415,89.90580367580863,-6.147054942858138
CLU,-4.401074650878601,4.040224243158694,-1.2033803039772217
RCN1,-5.221663750321956,16.562724400598295,-2.6047092060664356
B3GNT4,0.3360277272928589,939.6397691292034,0.3274290738855873
TPM2,-4.107810102568528,3.4337038562977447,-1.0413198261333303
PJA1,-5.293607921199958,7.054256669183924,-1.8613728476196434
KCNK1,1.979919778032392,871.9163023293139,1.9254810354768792
CAPRIN1,-3.4574546358603406,53.976409466499305,-2.4910995216698506
DSG2,-27.887958474333413,690.0175035259525,-26.929344413846454
