,F1,F2,F3,F4,F5,F6,F7
AAAS,0.30105168372879476,-0.04231252339727486,-0.19376084290260975,0.022356111931091483,0.4039334822511773,-0.29774803196963,-0.37672103953872016
AAGAB,0.2944072458719181,0.08051909417300686,0.1866149691392722,0.319601667452553,0.8597781900582984,0.7053183351600852,-0.47263165982047434
AAR2,0.3463441686598597,0.0938184519681066,-0.148482715671111,0.10187751133262025,0.7101584646199856,0.2714211815099686,-0.7031992169612916
AASDHPPT,0.4564946072136451,-0.06930564531989318,-0.25088095262990284,-0.8411859236542064,-0.2603460557048012,0.27386081718633465,-0.8529120967270148
AASS,0.2748268491423521,0.12304464225349317,-0.2797645999502431,-0.17078975178051073,-0.1582600728815413,0.34957647036461975,-0.6125577294409562
ABCB6,0.042061658648309415,0.025084586535071705,0.041298003382065115,-0.04600415985747152,0.27937603944813283,0.2212390232516327,-0.5025422609880168
ABCB7,0.3669776748979285,-0.03193918327213884,-0.127514151358109,-0.2279898633843354,0.48813758060112766,0.153200124721717,-0.4039542320298939
ABCB8,0.23653766489805822,0.2637266520191446,0.4875741225663754,0.07142756997734206,0.6317535003586995,-0.058509677101163206,-0.10733372943951335
ABCC2,0.521039793565204,-0.0877503482472785,0.08139595712601633,-0.43490167894767534,-0.2888401980271021,0.018779725119282074,1.0888363844823545
ABCC5,0.21937040584699619,0.24562436029982673,-0.0017294220206671028,0.8396543777355109,-0.29361948950307226,0.9496485107945348,-0.7750000011791881
ABCD3,0.47521498935305523,0.14057336101856052,-0.33622375703882523,-0.38729451755871613,0.09250961284557926,0.3167731710180094,0.18426106574251494
ABCE1,0.3754754868519762,0.05431583016725559,-0.3003414600456354,0.9796307259223678,-0.1607835377901706,-0.2121043385618764,-1.0380032157168866
ABCF2,0.7091676639455187,-0.07858382587185433,-0.0017188136999869736,-0.062206527185794704,0.30741853248187045,-0.36369913307684076,0.7779585288741209
ABCF3,0.314356544942493,-0.11039821807056734,-0.17227970933942371,-0.3287235682095053,0.2715253335968964,0.7848628223228744,-0.6937927334315376
ABHD13,0.2504725156047617,0.054540551482171094,-0.12735199186307286,0.11731738477966433,-0.3204953509555683,0.6717043210911683,-0.34693228106975416
ABHD17B,0.43894749870516964,-0.03666073175348922,0.0009420976407144975,-1.0846974094695951,-0.3172231040206883,0.5509326252217724,-0.6818130989861496
ABHD17C,0.02680043700375486,0.11196606104888235,-0.2643854991675802,0.015772535853822142,0.04722247551533477,0.3060574406565242,-0.13777966722309798
ABHD18,0.2833394308960953,-0.02353709855334795,-0.2464429049486983,-0.3380256912737681,0.3865447109969375,0.9750942642307779,-0.6060889925522323
ABHD4,0.3833940837228877,-0.025542956473756234,-0.28035451263526284,0.2935039962101314,0.7033175649425282,-0.7678599279146286,-0.7335733801854134
ABHD5,0.122648219927059,0.17198260847961297,-0.2536465828206978,-0.019758649659724455,0.25703349233872913,0.40879369180912933,-0.19242572639552954
ABI1,0.5333237620435574,-0.0467833389488256,-0.06651707202416898,-0.12565967556471525,-0.5775882085907452,-0.24514781388599408,-0.3517008449586502
ABL1,0.6067894762342662,0.07581789757114843,0.0779317071020159,0.06766808717405712,-0.5325386330538063,0.36620591610127906,-0.3291971394365937
ABRACL,0.35120391429234676,0.10619506304576248,-0.18787957696534832,0.5036403055253353,-0.4461942353105865,-0.6595657179987775,0.1474092355329521
ABRAXAS2,0.44925969776790153,0.03258870459479099,0.03311817237831839,0.08300537529810384,0.409958303360591,0.2506182617040558,0.5045422856112897
ACAA1,0.38559577055284106,0.12368241008668356,-0.05375980662883524,-0.0015014965478810868,0.28609925688086696,-0.5380167947159428,-0.19928023344517068
ACAA2,0.16971672021010697,0.07831359501609979,-0.34532678239167763,0.5824330223873013,-0.10448249904889938,-0.7583400458468345,-0.6568080732813959
ACACA,0.5731231384005843,0.1242904751153178,-0.0034132638572202754,-0.032842583219844346,-0.26298270385320055,0.030880548570688317,0.4160978276732348
ACAD9,0.24417476095974835,0.03238286397032787,-0.0020728360564005034,0.08300583489467038,0.43406656795999976,-0.6877036037307998,-0.6425127665503759
ACADL,0.022968577891280605,0.04287349981514827,-0.29315053209250086,-0.010523525703859149,0.12028254398205791,0.3146307436265961,-0.10342268909777223
ACADM,0.40737084438299653,-0.11886757166840102,-0.12735784640430386,0.27961600808522724,-0.39749361970350755,-0.3260818770790915,-0.7637590195364179
ACADSB,0.26089083880575525,0.22557692017889336,-0.04374596591448811,0.46819588652490085,0.6028934671994748,0.13872936810109476,-0.5791875514989474
ACAT1,0.49027889687125736,-0.19466748873488907,-0.05845813092510399,0.9342464339221426,0.10690172762369861,0.10850790605469779,-1.3136802007263997
ACBD6,0.2070466608436467,0.03981563384451254,0.045055718877027945,0.2767709621629814,0.5580713274946598,0.3259492201402212,0.39833642777354844
ACO1,0.23918278934190396,0.045870355244939584,0.002089666454230918,-0.3132074371042735,-0.31971314404866813,0.40218190683681804,-0.48515973891946435
ACO2,0.5057162237172577,-0.014625953308476705,0.23036162123443232,-0.22942671419352692,0.5102421197666286,0.4932622991770917,-0.8705797497851174
ACOT7,0.20192513489938638,0.06891182416361315,0.1427796240334463,0.3887760106149749,0.6015756907362128,-1.1699786574061888,-0.8270907380812652
ACOT9,0.358217172349846,-0.1329688881631566,-0.40354445957554963,-0.44251256433962216,-0.4993493362488663,-0.48154222055028345,-0.7597716819841709
ACOX1,0.49798763506760463,-0.009323407963188965,-0.049798702227454396,-0.16144321666273714,0.24903821861009107,-0.6443486925149482,0.4895203586232162
ACP6,0.5091983603262171,0.040256338290325766,0.32557089470186085,0.37509183496599496,-0.24685865460674897,-0.04177384718978861,0.3322436386694949
ACSBG1,0.2590561016961681,0.011980514399296753,-0.1452691026390581,0.3449963884127263,0.5810513080577875,-0.3275382091226608,-0.792309650578542
ACSF2,0.19168172957352758,-0.01214964859116511,0.20984919665591126,0.07355246585718514,0.4309523557772307,0.10328772357263322,-0.3008784527883488
ACSL1,0.5374895580470339,0.05423793991355331,-0.09514831377739978,-0.546707112242043,0.3656264048217852,0.3011411878987174,-0.7793480263173747
ACSL3,0.7120154682524228,-0.03345213857992216,0.23673646128640413,0.05290174433304661,-0.7153408276507557,0.046589054258879395,0.9680416590575157
ACSL4,0.4088913692877492,0.014257381868400682,-0.023795136315152968,0.726783310032956,0.040182840264498434,-0.6358033836798442,-1.154414159016855
ACSS2,0.44391983908112376,-0.18303814424627934,-0.2406835103662563,-0.32107304900079625,0.50966209372004,-0.04708445895174891,-0.638214628402946
ACTA2,0.32884158671278113,0.02904372818448486,0.02299945670639948,0.6287386344560909,0.48655961871019093,-0.5424330044028841,-0.6630771027642555
ACTB,0.8302903533795519,-0.13929116179416623,0.17169537210330613,0.8732509711544806,-0.5407159432939062,-0.2979199371392178,-0.18624879807794675
