sample,genes_with_promoter,median_cpg_per_gene
GSM7508586_AF1_12,22604,3.0
GSM7508589_AF1_15,28882,8.0
GSM7508590_AF1_51,34121,63.0
GSM7508591_AF1_62,31881,18.0
GSM7508592_AF1_66,34009,51.0
GSM7508593_AF1_83,33284,32.0
GSM7508594_AF1_85,32500,26.0
GSM7508595_AF1_86,33709,41.0
GSM7508596_AF2_12,31085,14.0
GSM7508598_AF2_14,30921,16.0
GSM7508599_AF2_15,31970,19.0
GSM7508600_AF2_51,32801,24.0
GSM7508601_AF2_61,32021,20.0
GSM7508602_AF2_63,29307,10.0
GSM7508603_AF2_65,32786,28.0
GSM7508604_AF2_83,34065,54.0
GSM7508605_AF2_85,34047,55.0
GSM7508606_AF3_12,33611,36.0
GSM7508607_AF3_14,33638,38.0
GSM7508608_AF3_15,33612,37.0
GSM7508609_AF3_51,34122,62.0
GSM7508610_AF3_52,33019,27.0
GSM7508611_AF3_66,33803,43.0
GSM7508612_AF3_82,33131,30.0
GSM7508613_AF3_84,33670,38.0
GSM7508614_AF3_85,34082,58.0
GSM7508615_AF3_86,33073,32.0
GSM7508616_AF4_15,33304,30.0
GSM7508617_AF4_52,25091,5.0
GSM7508618_AF4_55,32313,21.0
GSM7508619_AF4_62,32949,26.0
GSM7508621_AF4_65,31399,18.0
GSM7508622_AF4_66,33966,50.0
GSM7508623_AF4_82,33870,45.0
GSM7508624_AF4_83,32796,28.0
GSM7508625_AF4_85,34076,56.0
GSM7508626_AF5_11,34138,64.0
GSM7508627_AF5_12,23419,3.0
GSM7508628_AF5_14,32074,19.0
GSM7508629_AF5_53,31037,15.0
GSM7508630_AF5_54,32662,25.0
GSM7508632_AF5_83,31745,18.0
GSM7508634_AF5_85,33720,42.0
GSM7508635_AF5_86,32824,28.0
