factor,view,genes,abs_mean_weight
F1,RNA_pos,RARRES1;DNMT1;ZP3;EIF4G2;ZP4;ACTB;TSPAN3;HIF1A;PKM;ARRDC4;SERPINE2;ASTN1;DPPA5;ATXN2;NAT10;MCUB;ANXA5;VIM;HSPA5;UHRF2;SQSTM1;ANXA2;GSTA4;CTSB;RPIA;AKIRIN2;CALU;MMADHC;EGR1;CBLL1,0.6618477306228627
F1,RNA_neg,EGFLAM;SLC3A1;RIBC1;KDF1;CCDC38;P2RY11;SCTR;FAM216A;VRTN;ATP6V0D2;PTRH2;PLEKHA5;ETNPPL;CLDN8;GLDC;BCAT1;ACAA2;PTN;ABHD17C;GPX6;RBM47;HABP2;PP2D1;BLVRB;IFT172;LPCAT2;GJB1;HMGCL;LSMEM2;NT5DC2,0.06331326176639014
F1,METH_pos,ZP3;ZP4;DNMT1;GDF9;ZP2;DPPA5;RARRES1;KPNA7;ASTN1;DYNLL2;INPP1;AKIRIN2;TSPAN3;MOS;ACTB;HSPA5;FDFT1;SIN3A;EIF4G2;NAT10;GRIP1;WEE2;BTG4;UHRF2;ARRDC4;MANBA;MAPT;CBLL1;MCUB;FXYD6,0.8554156099412594
F1,METH_neg,P2RY11;HMGCL;PP2D1;SCTR;GJB1;PUSL1;GJB5;ATP6V0D2;UPK1B;CLDN8;BCAT1;MTFP1;CDC20;PKIA;EIF3G;SLC34A2;NT5DC2;SYNC;APBB3;SLC1A3;SRPK3;TP53I3;CXCL14;GAMT;TPI1;CA2;SLC3A1;TMEM101;ATP6V1C2;PPP1CA,0.046918727038255725
F2,RNA_pos,ANXA1;WWTR1;RHOD;CDC42EP1;CCDC68;CFLAR;TPM2;SLC13A4;PLP2;PXDN;P2RY11;PP2D1;PUSL1;CXCL14;GSTA4;CDC20;PPP1CA;SRPK3;CLIC6;COL4A2;CDX4;RAB24;APBB3;ADAM9;GAMT;HMGCL;PTGES;ACTA2;PHGDH;GJB5,0.04824619193526962
F2,RNA_neg,RNF19A;API5;PGRMC1;BUB3;ELL2;CNOT9;PPRC1;FERMT2;BCKDK;CCSER2;TTC3;NAA20;FAM3C;DNAJB1;KDM5A;SELENOS;PPP6C;SERTAD3;ITGB1;PTCD3;GHITM;RBBP5;RAB10;BUD23;ACOX1;CDV3;COG6;CLPX;HACD3;TAF7,0.9600133739407448
F2,METH_pos,FAM83D;HELLS;DCAF1;WDR77;NAAA;OCLN;PGM5;AMOT;MAPK8IP3;APRT;CAMK2D;USP28;SGPP2;UCP2;SCAP;SENP5;CRAT;CCDC51;TCAF1;PPP4R3B;PEX3;ZNF396;CENPI;IPO5;PHKG2;MKNK1;PDK3;NAB1;ABCB8;DENND2C,0.3020257084272922
F2,METH_neg,CTSB;MED7;FTL;PLGRKT;RPN2;ADAD1;VCAN;SERPINE2;P3H1;TRAK2;ITM2B;ASNS;HSPA5;NGLY1;CALU;CYB5A;TMEM70;GNAI1;GJA1;EXOC5;PDIA3;EEF1G;BNIP3;SLC25A3;ORC1;RARRES1;CHODL;HSD17B7;PLOD1;NDC1,0.25127826038426365
F3,RNA_pos,ZP2;ZP4;SYCN;PARP12;ZP3;B3GNT4;TACSTD2;HENMT1;DNMT3B;DPEP1;ARL15;GDF9;KCTD9;STK35;SH3PXD2A;USP53;UBASH3B;PCOLCE2;C9orf72;MANBA;ISL1;ERC2;PHC3;SLC1A5;FLNC;HNF1B;IQGAP3;PLLP;SCYL3;SLC35G1,0.9593432974463625
F3,RNA_neg,FKBP10;ACTA2;PTGES;ITM2A;ARRDC3;FSCN1;COL4A2;EPHX2;TIA1;GDE1;TGIF1;GJA1;SPARC;ANXA6;PXDN;NQO1;FCGRT;HK1;CDH2;TMEM98;APP;ATF3;SLC39A1;TIGAR;GYG1;DBNL;MAGED1;CREB3;NECTIN2;CLU,1.1647808113254723
F3,METH_pos,WSB1;MRM3;ADAM10;DCLRE1A;SRPX;ABCB8;LMBRD1;GIN1;GANAB;ITGB1;HCCS;KLHDC2;CPD;PNP;ST14;ACTR8;ADH5;KBTBD4;PDIA3;PLOD1;MEST;TFIP11;LAPTM4A;MANBA;PHF13;ALDH2;ZP4;CDCA7;CHID1;TTC5,0.4459823080931039
