,F1,F2,F3,F4,F5,F6,F7
AF1_85,1.88056039459039,-0.3693941484348408,-0.3255716187736613,-0.18902682435154483,-0.03162709212715847,0.10202644790931213,-0.007807765265365966
AF1_86,0.6553903839915829,-0.4697158939916272,0.5162320624161306,0.3221288691469998,-0.07140372624912168,-0.016979970743498322,1.322167236706577
AF2_14,2.2395694124182883,-0.013006338906309008,0.6518622291538542,0.023939251129726887,0.18340545808757724,0.19117964997363962,0.0667966306834245
AF2_15,1.3468719111336538,-1.1697554823466216,-0.794174280195036,-0.13655453650446156,-0.20323810383093768,0.08371659782078977,0.2296634884020969
AF2_51,0.11108663616776374,0.2880688359240919,0.2560095507388309,1.266477663886531,-1.5094877370664521,0.19859496242497154,-0.2721413746776195
AF2_63,1.098064563670092,0.5063292479441289,0.8719428465119773,-1.3077294647497426,-1.0832963874271897,-0.2397795155522329,0.12914187532193927
AF2_65,2.2016081601953594,-0.5426158592809165,-0.9756863051391911,0.529072194722169,0.002725726644199167,-1.3802873905855102,-0.12348341479854107
AF2_83,2.897236680908793,-0.17820349596769788,0.6253618602665707,0.17035871188613283,0.4586896196653137,0.16700560772502193,-0.47541282705324595
AF2_85,1.2916332517753573,-0.9037728518393774,0.5606080987327415,-0.1436578919195914,0.047533716343960655,0.045664840720379025,0.12794163336299996
AF3_12,1.4257470819136104,-2.481916068044577,0.586621454669327,-0.05168045666558414,0.08300224125948925,0.13429061333841688,-0.023621451285370007
AF3_14,2.7113238867913836,-0.7666630886672975,-1.4447822130529318,0.03832233277899229,0.11176586020225115,0.34290488300467287,-0.13627720200723567
AF3_15,2.9575244159898744,-0.9524028852258775,-1.2796186021474347,-0.5214371152244337,-0.0875225064420232,0.3226792649736347,-0.10066113693751477
AF3_82,1.8387741991466313,0.6905475989685629,0.8062429006116838,0.7564146440827728,0.40584667786595013,0.06990715220749573,-0.04911480348828324
AF3_84,1.2725023010909866,-0.43359621028470624,0.70546806260621,0.2151069032269079,0.1657021623054948,-0.02033819140115279,0.014052506881651468
AF3_85,3.5733742607781447,1.9519591089367283,-0.2728286704964235,-0.23807908639192177,0.26271228229533816,0.06875043317785157,-0.13896776045126022
AF3_86,0.9476451392588735,-1.8631927900497143,1.0456339144126687,-0.23364436191208224,-0.002322383428222786,-0.27445055600269086,-0.15011255032492818
AF4_52,-1.7954756683978954,0.3767413365449973,-0.09187805124276086,-0.03293335982167147,0.07608414809372879,0.014062409688058783,-0.025323104925724853
AF4_55,-1.806145875328096,0.4018601008412605,-0.09043056628354745,-0.030286398571157943,0.07538465854691476,0.012736824582603947,-0.022771733915786595
AF4_62,-1.8098084951377773,0.39575025502545413,-0.09266948061993824,-0.03133989299617178,0.07183501809559985,0.012433565954065893,-0.02605296309645413
AF4_65,-1.7666498255151863,0.37050734965008747,-0.09550277705940931,-0.03315007510984903,0.08077920621662703,0.010833819145926873,-0.025987119172446418
AF4_66,-1.708948020458312,0.43124121121668896,-0.0999540834271745,-0.031091279245461137,0.09152091917891138,0.014993915707160537,-0.034107828024404624
AF4_82,-1.8090557675461727,0.423831763330456,-0.09517267125764185,-0.02964910376791906,0.07486145115027656,0.010156379357549905,-0.024680325188953457
AF4_83,-1.7638369512936563,0.39651399697449513,-0.09425634009762486,-0.031115829653018408,0.08257199268022943,0.01337608456187336,-0.028266652182878164
AF4_85,-1.7157310362641842,0.4216675681518718,-0.09783220680775818,-0.032516108839970706,0.08781538271735438,0.01468021084983359,-0.03401939961138883
AF5_11,-1.888317065772443,0.4059656279826615,-0.08778129216729297,-0.028859725271277697,0.07058618003587558,0.007384364390636961,-0.010783198236192696
AF5_12,-1.7647139886256311,0.46614554371266614,-0.09140045059148048,-0.03201696222016684,0.07898216227797888,0.013591541951933865,-0.02528549465320022
AF5_14,-1.7619788395494609,0.3852381264736515,-0.09442874987593691,-0.03251773625567306,0.08163942602619072,0.012477351262745386,-0.027328336896357473
AF5_53,-1.7722583556419675,0.36568148765423136,-0.09332756994122877,-0.033244459342763974,0.0787151256639948,0.012998110043183454,-0.02640715426468405
AF5_54,-1.7198063348515202,0.6252912978362193,-0.12173563256022508,-0.021771063573417657,0.08463428484768887,0.019298010992313982,-0.030371335741180318
AF5_83,-1.8012231631196445,0.44414905257601056,-0.09788285811020818,-0.03314781289226009,0.07746557635881193,0.012259891021707423,-0.022049548519665042
AF5_85,-1.8183087393573876,0.3959058770741631,-0.09081683120068877,-0.034300189989146364,0.07305734561066365,0.009665325557087896,-0.02070762680433119
AF5_86,-1.7466545529614506,0.40083972622113695,-0.09825172907240065,-0.03207083559094546,0.08158131440068546,0.014167365942218207,-0.028021263835676866
