,F1,F2,F3,F4,F5,F6,F7
AAAS,0.15477172603640976,-0.7149736597349741,0.16828545289191651,0.031192734657961806,0.14700949693026957,0.9188600367865243,0.008663421104556512
AAGAB,0.2467239801284326,-0.7922771215297479,-0.43673503547752107,-0.1642932064106171,-0.02345882614803115,-0.5314664814213201,-0.0725092574461377
AAR2,0.1943395738439601,-0.7716221085161357,-0.21201844193260694,-0.2354634074037749,0.06653756577169931,1.2720923385416991,0.34066734889427097
AASDHPPT,0.2872499031612645,-0.7844886595415912,0.022026095267715727,0.3382094924558167,-0.36309799464841214,0.46077358229666165,-0.0667256683853677
AASS,0.11671284482641608,-0.6973087698811916,0.20768965774849363,-0.011939990203154663,0.4182881499562419,-0.2817869365147651,-0.019504295457632274
ABCB6,-0.04682800812621252,-0.2095654224192535,-0.062410047920130766,-0.01596316908464538,0.040615776988868584,0.020309549398463283,-0.02472064278292077
ABCB7,0.1822288193268175,-0.6465388066871333,0.4899049115989039,-0.5433165827258803,-0.43061639935218293,-0.16956463170290986,0.34725533406459147
ABCB8,0.2480810690285518,-0.3548273233558911,-0.6374794174788758,-0.022849718791449414,-0.06535292728532349,-0.4319489515030434,-0.12027168734078297
ABCC2,0.4165419965516702,-0.32261006257520247,0.7516187072016873,-0.2541541121369394,-0.5856706714532065,0.15933738546846946,0.08838387070612314
ABCC5,0.057896351570868074,-0.7620207118742208,-0.006962091560607174,0.07353409892286396,0.11217413670350358,0.3287820247511738,-0.12973339935196818
ABCD3,0.3315921698737918,-0.6292123847820732,0.14774593475483136,0.05320664250200131,0.6158464107734277,0.1359117155520823,0.011734346350477622
ABCE1,0.2663539889861288,-0.8587298545615034,-0.5256890467268995,0.08257379914585819,0.3770086405880433,-0.255845345542689,0.2892601656038789
ABCF2,0.4401679737416761,-0.7691454703454949,0.1708364002707551,0.3787870604902483,-0.3414750311730375,-0.1509970470450584,0.18780612565665258
ABCF3,0.22762181647996996,-0.5699696019505319,-0.4885256731715792,-0.4773735665087482,-0.11277003017636891,0.7880289937569196,0.008797716859061923
ABHD13,0.17385023280859152,-0.5832550537007615,0.2810478304582908,0.08517812324578539,0.3739426850669759,-0.10684607774078328,-0.06294704977137731
ABHD17B,0.24235759099614673,-0.774887199864333,0.4505326319808061,-0.07372425026551888,0.3816850902230575,-0.538006760012368,0.11222494413511286
ABHD17C,-0.061888246415959074,-0.194380187787169,0.023957635418130223,-0.032500210131264605,0.09229375044001696,0.14878391753178372,-0.08024851265878777
ABHD18,0.10924998416341261,-0.3280174197011959,0.3453244899430582,0.1955946832786051,0.282213648866345,0.525503860434179,0.10679595731072211
ABHD4,0.21870195974359008,-0.9202194764894347,-0.30252795504062024,-0.08253841507689225,0.328181447866487,0.41383343955557533,-0.05447237721898376
ABHD5,0.0072520117327423425,-0.6306035398765261,0.003266965963804037,-0.14762407537433075,0.04359354956903373,0.3756889713647754,0.2583617785383215
ABI1,0.32015608572445775,-0.8040278417087955,0.08184711829595281,0.008759143816835901,0.42739920449350477,-0.12438941182920765,0.1609600290432963
ABL1,0.37121527052539066,-0.740334454712765,0.2727920355475223,-0.15096812760025072,-0.4248140511228908,0.039438879763838045,0.16807708973945976
ABRACL,0.20234295270896355,-0.8166453302908134,-0.3680568247424362,0.4648417268149226,-0.33232319119209414,-0.2345828967041024,-0.21588261398041428
ABRAXAS2,0.20838526484959874,-0.752664139212274,0.18703226772859116,0.32701796460567845,-0.019224935507867417,0.09203011374196511,-0.42647880624059425
ACAA1,0.1876229985112354,-0.7707348047800998,-0.1276684970355397,0.08254755974699442,0.01441554176240399,1.236894450454243,0.09060687336040121
ACAA2,-0.06223747523632862,-0.23310060543754116,0.09794425072064902,0.23077054491740367,-0.2535609661433459,0.2571194584250001,-0.02876378886034322
ACACA,0.37064590443982837,-0.38691997487354757,0.8365299612867062,-0.12880003182641558,-0.09008954333825148,0.03179641516939792,0.10865642522205252
ACAD9,0.29607859146068916,-0.05605965126479148,-0.0827311560518008,-0.08920108091931929,0.39271888566243135,0.9018430301203433,0.03477950979393752
ACADL,-0.0392829196398715,-0.40262766642902054,0.41630991060473527,-0.00011854216609224067,0.16742680320971084,0.001178167956006646,-0.21417467749473468
ACADM,0.4138660977755211,-0.6035884394103742,-0.5255705993067897,-0.06909915052077494,0.3112796724977632,-0.4745790830424404,0.018156537908804782
ACADSB,0.17033768811159108,-0.45320852702528486,-0.748322047964436,-0.6350462636171735,-0.2799766428642375,0.8572021802630713,0.006865861419781492
ACAT1,0.15726292024928387,-0.6928310474027634,-0.5513565022697691,-0.1753962607599605,0.08444474877322922,1.227649265281572,0.041542401891382974
ACBD6,0.08446119527006113,-0.6583929962472597,-0.3645517128015155,-0.4004563669968818,-0.42415903018998297,0.808913337929571,-0.14358329676601758
ACO1,0.10694372372745362,-0.6870773351550594,-0.28197751907321233,-0.10344591872227668,0.04826579513143224,0.7818545332256351,-0.3095045385413281
ACO2,0.3802717809929564,-0.8135076852416635,-0.13292835868324793,0.07807047998462464,-0.5158328313823866,-0.2826075465734921,0.11201526921078327
ACOT7,-0.007732280899535571,-0.3063825759705666,-0.09373013057295791,-0.10603686297427321,0.08090080886371129,0.4089039552820663,0.009901066832792625
ACOT9,0.2604384915136413,-0.6290463329672158,-0.2246652003895462,-0.029192907562993177,0.2673523942753568,0.38321165152149234,0.3561775090412384
ACOX1,0.21295283637963902,-0.9349245852135017,-0.24597036412449985,0.5131647463317645,-0.25999412010009126,0.4292911196572832,0.06674481089890359
ACP6,0.25050627326720554,-0.7477589196615897,-0.00652712656795462,0.08904016339482844,0.554936504850838,1.0511409959705764,0.09666302450104133
ACSBG1,0.08793819934717043,-0.6123950076333687,-0.5686888098104652,0.02623010326975672,-0.10030617801644313,-0.8516180017326481,-0.22019666533693943
ACSF2,0.1421288072589075,-0.3502477645047352,-0.6471168105074175,0.013399472422921334,-0.11921109966041213,1.012671473864465,0.46744188692388183
ACSL1,0.20337023297038945,-0.6677155533064761,0.3108705559825228,0.11164606144784175,0.5637283562814912,0.20507186167411665,0.15036753856789045
ACSL3,0.463173279362758,-0.6203378218940995,0.6019375429391298,0.19837310126130298,-0.5171979623631341,0.021046852318767486,0.0547676361156956
ACSL4,0.4087533804447416,-0.5034968245343225,-0.8339750152810511,0.23150308113419332,-0.21527588012295648,-0.6134020959072394,-0.0434686564861453
ACSS2,0.2801735934457806,-0.7578382372443347,-0.05570975242958666,0.67522740900637,-0.14291656266424912,0.29320640082900873,-0.20924413306353037
ACTA2,0.37647259299823893,-0.007109682367694842,-1.4031366665512,-0.27494178327160185,-0.058388752482225886,-0.3873720956662946,0.12383288182885166
ACTB,0.6952061173959624,-0.4362968678999481,-0.5096431664144986,0.015012806624674963,-0.37589281511071027,-0.2965188997589428,0.2522426337696743
ACTC1,-0.035117837373660914,-0.35454513446024016,0.20250936362426528,-0.03942202257232083,0.09394814653485095,0.07669754456637665,-0.11301897757826825
ACTR10,0.37332647894494747,-0.5274800924069446,-0.08063766037860268,-0.16359048968400636,-0.13987465645628389,-0.01786627998732564,0.19580245617183187
ACTR1A,0.34048381882247497,-0.6929779672548172,-0.5413887362035722,0.18678228495509755,0.5298884088441007,-0.27930407189348205,0.023375733564516377
ACTR2,0.40447455856448095,-0.6902568256918494,-0.3587836319759632,0.3174624590068977,0.04868070374326988,-0.22041293623380118,-0.03288951590148647
ACTR3,0.4335834089050706,-0.6035639373818182,-0.6681155955848568,0.2747664522713729,-0.44665810377950643,-0.358466336572184,-0.01753048200587568
ACTR6,0.08209639717259774,-0.7873267631559948,-0.3266633683586066,-0.2494918829025726,0.1687247724717976,0.9173678452797418,-0.14494446610967548
ACTR8,0.2980285950560721,-0.8874026016962093,-0.4483574750657662,0.49759412352339905,-0.049743577422977095,-0.09709102722452607,0.15233315158117364
ACYP2,0.43865960936631837,-0.19038462674461193,0.523337610764665,-0.4808460698193246,-0.007150726668447575,-0.34675706214843555,0.07067255962199953
ADAD1,0.14257971148635967,-0.5250530474685938,0.6583712329408538,0.5189839035445876,-0.1361340351278148,0.7759489414099006,-0.04826603968977843
ADAM10,0.23956531510111478,-0.855477076727249,-0.13094690459039937,0.6075183702979366,-0.29065634629996867,0.7734710717384256,-0.0979651443097474
ADAM9,0.24960174691762452,0.0006987959272689648,-0.6945235211161912,-0.029808957505796443,0.13615712432282723,-0.1831044551298019,-0.11525850887942572
ADAMTS1,0.07619455360914157,-0.35028767621271384,-0.2900431444246971,-0.08117615930786518,-0.011729032391626404,0.2345695588323693,0.007040032066224978
ADCY3,0.32507598917646546,-0.6373402130839245,0.5588303709062201,-0.0874129701137444,-0.538303424376795,-0.5896097310576882,0.07546139876631469
ADD3,0.27494625692320396,-0.5900919660279833,0.04401401356848893,0.0862507775906528,0.3224100079485186,-0.7901280449473654,-0.0023001253009765224
ADGRA3,0.49237160908131994,-0.6381447124973818,-0.3282157482584887,0.5491525553276194,0.15243116773264534,-0.507925234966351,0.04219340041774593
ADGRL2,0.08596380776900485,-0.5456576155924545,0.04610517601105751,0.014424280634276926,0.10327187187945808,-0.4429123872026397,0.047977117781591694
ADH5,0.4306509068929347,-0.8265193329678949,-7.513770989233527e-07,-0.01630668384357573,-0.7489801998153649,-0.39538804221343976,-0.03290699824560193
ADIPOR2,0.44527916055188804,-0.3534931121635432,0.2837464445238136,0.016845510908735414,-0.05386924551660485,0.23699682543300887,0.1241398326095907
ADK,0.07964791310649193,-0.2093328426420927,-0.10533769674717243,0.042735185162028955,0.01686086253937324,0.02574276692517417,-0.04387501508832913
ADM,0.16322443318820284,-0.5284017157349712,-0.9195026851268697,-0.16526610322333757,-0.08782350007820658,1.2272567589910557,0.1304802634763158
ADNP,0.1841804888695752,-0.7679994263375504,-0.19526166950559534,-0.11248785831373695,0.29170625342829964,0.9001132166569836,0.0787225738745627
ADPGK,0.37869041793528035,-0.7616725702502747,0.10439355499387398,-0.031594466126848575,-0.7925076695972654,-0.34828306392621566,-0.190769252713296
ADSL,0.12491702202985656,-0.6331669729599094,-0.06489450196635274,-0.06156589818278556,0.30812020373410987,0.8546025865167104,-0.17513023447858292
AEBP2,0.14672827130113258,-0.5333816377777304,-0.4546397430807387,-0.056474301151714555,-0.08591541615543218,0.12045928584614822,0.03850220505148163
AEN,0.17479126869840136,-0.5901153223806732,-0.6386642001547481,-0.06488987897897697,-0.0006699903060878754,1.239568482019574,0.19049830407726984
AFAP1L2,0.0037352490534308287,-0.43557452293738463,0.031815546160088866,0.034666196315313556,0.24204191629025854,0.3911628993627498,0.02799749410766409
AFF4,0.20350415326109966,-0.6594335793251127,-0.028642286749910265,0.026545580460314404,-0.3452161473343192,0.1663006503361903,-0.27592975703470285
AFTPH,0.3543757310007543,-0.5527840198807117,0.21357680431374898,0.06133069630776582,-0.39249016511869655,0.6752620388176058,0.04581409962929476
AGA,0.23677707259380668,-0.6029332631121286,-0.7599011774644223,0.17668981171659887,-0.01675659041237859,-0.2645479881916869,-0.15180823539547575
AGGF1,0.20746420782944303,-0.8543174899537711,-0.5876844242579241,0.2579618557159735,-0.12822222558095467,-0.06336327154840736,-0.12568827290046156
AGK,0.22519960562125754,-0.7950057697706369,-0.12204349019008005,0.4838124086893149,-0.28761552635799686,0.8407634903488399,-0.20679117487164245
