gene_id,gene_name,mean_promoter_ncpg,samples_with_data
ENSSSCG00000000002,GTSE1,160.5909090909091,44
ENSSSCG00000000003,TTC38,237.3181818181818,44
ENSSSCG00000000005,CDPF1,29.75,44
ENSSSCG00000000006,PPARA,178.88636363636363,44
ENSSSCG00000000007,TRMU,276.5,44
ENSSSCG00000000010,FBLN1,12.863636363636363,43
ENSSSCG00000000014,FAM118A,238.11363636363637,44
ENSSSCG00000000018,KIAA0930,86.75,44
ENSSSCG00000000020,PHF21B,184.25,44
ENSSSCG00000000021,ARHGAP8,183.8181818181818,44
ENSSSCG00000000022,RTL6,48.20454545454545,44
ENSSSCG00000000024,PARVB,376.70454545454544,44
ENSSSCG00000000025,PARVG,54.29545454545455,44
ENSSSCG00000000026,SULT4A1,90.68181818181819,44
ENSSSCG00000000028,ENSSSCG00000000028,82.95454545454545,44
ENSSSCG00000000029,SCUBE1,86.31818181818181,44
ENSSSCG00000000031,MCAT,64.04545454545455,43
ENSSSCG00000000033,TSPO,188.20454545454547,44
ENSSSCG00000000034,TTLL12,116.27272727272727,44
ENSSSCG00000000035,TTLL1,51.15909090909091,44
ENSSSCG00000000036,PACSIN2,54.81818181818182,44
ENSSSCG00000000037,ARFGAP3,95.43181818181819,44
ENSSSCG00000000038,CYB5R3,87.47727272727273,44
ENSSSCG00000000039,POLDIP3,64.25,43
ENSSSCG00000000040,SEPTIN3,118.0909090909091,44
ENSSSCG00000000045,NDUFA6,84.54545454545455,44
ENSSSCG00000000046,CYP2D6,51.90909090909091,43
ENSSSCG00000000050,NAGA,4.568181818181818,37
ENSSSCG00000000058,SNU13,37.40909090909091,44
ENSSSCG00000000059,XRCC6,2.1818181818181817,36
ENSSSCG00000000061,PMM1,42.06818181818182,43
ENSSSCG00000000062,CSDC2,93.70454545454545,44
ENSSSCG00000000063,POLR3H,42.59090909090909,44
ENSSSCG00000000064,ACO2,2.5454545454545454,32
ENSSSCG00000000066,L3MBTL2,114.31818181818181,44
ENSSSCG00000000067,CHADL,71.79545454545455,44
ENSSSCG00000000068,EP300,288.27272727272725,44
ENSSSCG00000000071,ST13,69.0,44
ENSSSCG00000000072,SLC25A17,28.90909090909091,42
ENSSSCG00000000074,MCHR1,174.4318181818182,44
ENSSSCG00000000075,MRTFA,62.18181818181818,44
ENSSSCG00000000076,SGSM3,182.61363636363637,44
ENSSSCG00000000077,ADSL,88.0909090909091,44
ENSSSCG00000000078,TNRC6B,8.772727272727273,40
ENSSSCG00000000079,FAM83F,238.22727272727272,44
ENSSSCG00000000080,GRAP2,25.113636363636363,42
ENSSSCG00000000081,ENTHD1,24.022727272727273,42
ENSSSCG00000000082,CACNA1I,144.5681818181818,44
ENSSSCG00000000087,TAB1,147.88636363636363,44
ENSSSCG00000000091,ENSSSCG00000000091,104.72727272727273,44
ENSSSCG00000000092,NPTXR,157.38636363636363,44
ENSSSCG00000000093,DNAL4,28.136363636363637,43
ENSSSCG00000000094,SUN2,78.13636363636364,44
ENSSSCG00000000095,GTPBP1,16.545454545454547,40
ENSSSCG00000000097,TOMM22,104.11363636363636,44
ENSSSCG00000000103,DMC1,35.36363636363637,44
ENSSSCG00000000104,ENSSSCG00000000104,90.95454545454545,44
ENSSSCG00000000105,KDELR3,180.13636363636363,44
ENSSSCG00000000106,KCNJ4,66.1590909090909,44
ENSSSCG00000000107,CSNK1E,60.45454545454545,44
ENSSSCG00000000108,TMEM184B,70.75,44
ENSSSCG00000000110,PLA2G6,68.72727272727273,44
ENSSSCG00000000111,BAIAP2L2,95.8409090909091,44
ENSSSCG00000000113,SLC16A8,78.5,44
ENSSSCG00000000114,PICK1,109.63636363636364,44
ENSSSCG00000000117,C22orf23,86.95454545454545,44
ENSSSCG00000000118,MICALL1,266.84090909090907,44
ENSSSCG00000000119,EIF3L,49.31818181818182,44
ENSSSCG00000000120,ANKRD54,55.93181818181818,44
ENSSSCG00000000121,GALR3,281.15909090909093,44
ENSSSCG00000000130,CYTH4,126.02272727272727,44
ENSSSCG00000000131,ELFN2,91.27272727272727,44
ENSSSCG00000000132,CIMIP4,28.295454545454547,43
ENSSSCG00000000133,TST,93.97727272727273,44
ENSSSCG00000000135,KCTD17,130.13636363636363,44
ENSSSCG00000000136,CSF2RB,122.13636363636364,44
ENSSSCG00000000137,NCF4,8.818181818181818,37
ENSSSCG00000000138,PVALB,64.6590909090909,44
ENSSSCG00000000139,IFT27,67.63636363636364,44
ENSSSCG00000000141,EIF3D,27.181818181818183,43
ENSSSCG00000000142,FOXRED2,93.9090909090909,44
ENSSSCG00000000144,TXN2,41.63636363636363,44
ENSSSCG00000000145,MYH9,21.636363636363637,40
ENSSSCG00000000146,MYH11,156.54545454545453,44
ENSSSCG00000000148,ENSSSCG00000000148,50.43181818181818,44
ENSSSCG00000000151,ENSSSCG00000000151,117.93181818181819,44
ENSSSCG00000000152,RBFOX2,135.88636363636363,44
ENSSSCG00000000156,FBXO7,67.61363636363636,44
ENSSSCG00000000158,RTCB,41.25,43
ENSSSCG00000000159,ASCL4,39.84090909090909,44
ENSSSCG00000000160,PRDM4,74.06818181818181,44
ENSSSCG00000000161,PWP1,103.06818181818181,44
ENSSSCG00000000162,ABTB3,290.4318181818182,44
ENSSSCG00000000164,CRY1,74.43181818181819,44
ENSSSCG00000000167,RIC8B,137.95454545454547,44
ENSSSCG00000000171,CKAP4,119.18181818181819,44
ENSSSCG00000000174,SPMIP11,39.09090909090909,44
ENSSSCG00000000175,ADCY6,185.1818181818182,44
ENSSSCG00000000176,DDX23,7.795454545454546,35
ENSSSCG00000000179,CCDC65,12.931818181818182,42
ENSSSCG00000000182,WNT10B,273.25,44
ENSSSCG00000000183,WNT1,89.3409090909091,44
ENSSSCG00000000184,DDN,248.27272727272728,44
ENSSSCG00000000185,PRKAG1,81.20454545454545,44
ENSSSCG00000000186,RHEBL1,118.95454545454545,44
ENSSSCG00000000188,DHH,112.54545454545455,44
ENSSSCG00000000189,LMBR1L,144.1590909090909,44
ENSSSCG00000000190,TUBA1B,61.38636363636363,44
ENSSSCG00000000194,ENSSSCG00000000194,3.9545454545454546,35
ENSSSCG00000000195,PRPH,54.25,44
ENSSSCG00000000197,C1QL4,283.40909090909093,44
ENSSSCG00000000198,DNAJC22,163.36363636363637,44
ENSSSCG00000000199,SPATS2,111.20454545454545,44
