gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,gene_symbol,sig
ENSSSCG00000013105,22768.23772433167,20.614086054535193,1.1127973417842814,18.524564429208787,1.308578252782257e-76,1.1418653833777974e-72,ENSSSCG00000013105,CCDC86,True
ENSSSCG00000007947,1075.6010901875334,21.119735359994493,1.2356166016007455,17.092466492141497,1.6887733303706282e-65,7.36811804040705e-62,ENSSSCG00000007947,ENSSSCG00000007947,True
ENSSSCG00000030510,11763.095412782117,18.32261280237336,1.0754861173356132,17.036586997297018,4.396514413832315e-65,1.2787994925033594e-61,ENSSSCG00000030510,FBL,True
ENSSSCG00000010799,1345.2222490048002,20.019107360604917,1.2611988952482094,15.873077145904945,9.734878497756737e-57,2.123663744285632e-53,ENSSSCG00000010799,COG7,True
ENSSSCG00000002280,1439.6141981170088,20.651548536843627,1.4532773387421645,14.210328604392801,7.905368384253445e-46,1.3796448904199113e-42,ENSSSCG00000002280,RAB15,True
ENSSSCG00000032266,252.87697179220734,-27.079135377437346,2.599562827737292,-10.41680358270376,2.078205544460507e-25,3.0224035968270637e-22,ENSSSCG00000032266,SLC37A3,True
ENSSSCG00000007739,244.42506487165718,19.138431989866362,1.9570097533406354,9.779425962081621,1.379909393735229e-22,1.7201556242476585e-19,ENSSSCG00000007739,GUSB,True
ENSSSCG00000032085,282.0514614998847,-37.21550344226934,3.9631831551607055,-9.390306222362883,5.982606659685326e-21,6.525528214051769e-18,ENSSSCG00000032085,CACTIN,True
ENSSSCG00000003877,227.77525795038903,-10.631852267863065,1.1491060600772571,-9.252281088090564,2.1975192049714808e-20,2.1306169536201268e-17,ENSSSCG00000003877,FAF1,True
ENSSSCG00000062607,373.0788119367045,-10.808256522275606,1.2273163863542582,-8.806414256703212,1.2921285943882248e-18,1.127511411463165e-15,ENSSSCG00000062607,TENT4B,True
ENSSSCG00000005474,167.76068742390345,19.8961253553367,2.2659918474691705,8.78031638885117,1.6301543409864595e-18,1.293156979949804e-15,ENSSSCG00000005474,SAL1,True
ENSSSCG00000040194,38089.50911619243,12.804604638535366,1.4607553878133028,8.765741852031358,1.855507452366063e-18,1.3492631691121887e-15,ENSSSCG00000040194,PABPC5,True
ENSSSCG00000010597,12491.528943543866,7.891191218405944,0.9373053367846591,8.419018764446555,3.7965060032671155e-17,2.5483316449622192e-14,ENSSSCG00000010597,TAF5,True
ENSSSCG00000003980,199.08462331874333,20.44410595282882,2.4629726790517643,8.300581702229733,1.0360286166038514e-16,6.45741836320372e-14,ENSSSCG00000003980,EXO5,True
ENSSSCG00000014327,1362.6971991448097,-8.702513391390386,1.0517748476637565,-8.274121986013213,1.2940562694660393e-16,7.527956671573773e-14,ENSSSCG00000014327,BRD8,True
ENSSSCG00000015323,734.5799686503315,18.066571435895426,2.2127494812228443,8.16476134745773,3.22071317426072e-16,1.75649644741244e-13,ENSSSCG00000015323,GNGT1,True
ENSSSCG00000009096,601.4529248422854,-7.733929606726581,0.9593508847724066,-8.061627637484646,7.528522976797077e-16,3.864346558560664e-13,ENSSSCG00000009096,EXOSC9,True
ENSSSCG00000014829,3880.7675859652954,-11.389163731147216,1.4234920699829139,-8.000862085086233,1.2355111102930295e-15,5.989483304676098e-13,ENSSSCG00000014829,MRPL48,True
ENSSSCG00000011923,6636.035478996195,-6.4128958850312054,0.80577159409964,-7.958701860416042,1.738535854183241e-15,7.98445466505419e-13,ENSSSCG00000011923,NEPRO,True
ENSSSCG00000007350,395.91107929412675,-23.793264056479178,2.994195604946443,-7.9464628219921405,1.919124408732614e-15,8.373139795300395e-13,ENSSSCG00000007350,PPP1R16B,True
ENSSSCG00000007074,1637.9786158567138,-12.578152509411655,1.6007966831604883,-7.8574328905894095,3.9208594996485795e-15,1.6292104759015955e-12,ENSSSCG00000007074,TASP1,True
