gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,gene_symbol,coefficient
ENSSSCG00000000002,1317.0902073137063,12.821845905291333,48.89408578228567,0.26223715404730374,0.7931386105928314,0.9999642144719292,ENSSSCG00000000002,ENSSSCG00000000002,condition[T.PA]
ENSSSCG00000000005,400.83745668972136,9.015376757739283,8.568358149500092,1.0521708593921546,0.2927211665792727,0.9999642144719292,ENSSSCG00000000005,CDPF1,condition[T.PA]
ENSSSCG00000000006,0.5942144245375793,-5.642921161812631,8.032224970486949,-0.7025352480223835,,,ENSSSCG00000000006,PPARA,condition[T.PA]
ENSSSCG00000000010,21.31688946399708,-19.947064400143045,220.59844268634941,-0.09042250778036597,0.9279514713326992,0.9999642144719292,ENSSSCG00000000010,FBLN1,condition[T.PA]
ENSSSCG00000000014,1001.5151419269208,1.837933829384712,2.2991270690148906,0.7994050673207086,0.4240555731306489,0.9999642144719292,ENSSSCG00000000014,FAM118A,condition[T.PA]
ENSSSCG00000000018,1515.2456501323188,2.9075913280388646,2.6078707910670365,1.1149292127502968,,,ENSSSCG00000000018,KIAA0930,condition[T.PA]
ENSSSCG00000000019,3238.2498947745676,0.559619117171457,1.6482795775363277,0.33951710911077104,0.7342202104980342,0.9999642144719292,ENSSSCG00000000019,NUP50,condition[T.PA]
ENSSSCG00000000022,0.8389353199151097,1.5981681597622464,7.890977525229927,0.20253107484496088,,,ENSSSCG00000000022,RTL6,condition[T.PA]
ENSSSCG00000000026,2.573320625545674,-7.592322784156421,7.799605175712256,-0.9734239891781566,,,ENSSSCG00000000026,SULT4A1,condition[T.PA]
ENSSSCG00000000029,9.610776323313713,-3.109246694916241,5.478314492953841,-0.5675553491708675,0.5703369332704025,0.9999642144719292,ENSSSCG00000000029,SCUBE1,condition[T.PA]
ENSSSCG00000000034,4.21291582853602,2.576161633839235,4.577812872281364,0.5627494407728812,0.5736055126656178,0.9999642144719292,ENSSSCG00000000034,TTLL12,condition[T.PA]
ENSSSCG00000000035,216.36587051807453,-2.936698218571026,3.9579661516451594,-0.7419715343827195,,,ENSSSCG00000000035,TTLL1,condition[T.PA]
ENSSSCG00000000036,123.50543145206538,-2.0255104964876662,1.8428967407622172,-1.0990906064817936,0.2717285467989544,0.9999642144719292,ENSSSCG00000000036,PACSIN2,condition[T.PA]
ENSSSCG00000000037,61.76979368619709,-2.1736730869243845,2.321659794500802,-0.9362582287349136,0.3491402493548805,0.9999642144719292,ENSSSCG00000000037,ARFGAP3,condition[T.PA]
ENSSSCG00000000039,1238.0353646500928,1.5306095468905747,2.255832356132932,0.6785120989728277,0.49744705514974275,0.9999642144719292,ENSSSCG00000000039,POLDIP3,condition[T.PA]
ENSSSCG00000000040,132.26412781774428,1.6923107583679684,1.8255219816730046,0.9270284200122562,0.3539117786554372,0.9999642144719292,ENSSSCG00000000040,SEPTIN3,condition[T.PA]
ENSSSCG00000000045,4547.801312749366,2.6326822749695897,2.1143810044639033,1.245131444811244,0.2130834372003063,0.9999642144719292,ENSSSCG00000000045,NDUFA6,condition[T.PA]
ENSSSCG00000000050,1083.2315813173504,-0.12053679839835868,1.4628456803423655,-0.08239884768306399,0.9343295523512299,0.9999642144719292,ENSSSCG00000000050,NAGA,condition[T.PA]
ENSSSCG00000000058,3471.5460944509286,-0.14333904990199697,2.0257347588468795,-0.070759041516171,0.943589530211162,0.9999642144719292,ENSSSCG00000000058,SNU13,condition[T.PA]
ENSSSCG00000000059,964.0811595547299,0.286664164528381,2.142454202438694,0.13380177004580981,0.8935593274892928,0.9999642144719292,ENSSSCG00000000059,XRCC6,condition[T.PA]
ENSSSCG00000000061,558.2498282033587,6.962506284688301,3.800561719746697,1.8319676927,,,ENSSSCG00000000061,PMM1,condition[T.PA]
ENSSSCG00000000063,46.18377193802235,0.736417806949109,3.353879508870731,0.21957193304092928,0.8262045521577397,0.9999642144719292,ENSSSCG00000000063,POLR3H,condition[T.PA]
ENSSSCG00000000064,128.02215539121784,-4.488552026988803,2.237414350480279,-2.0061335648559235,,,ENSSSCG00000000064,ACO2,condition[T.PA]
ENSSSCG00000000066,152.47622956356412,-2.457122997900938,3.577261375894157,-0.6868726491328204,0.49216298381317225,0.9999642144719292,ENSSSCG00000000066,L3MBTL2,condition[T.PA]
ENSSSCG00000000068,1289.505560216155,-4.448633516747547,2.037850516290038,-2.1830028656107734,0.02903559898459921,0.9999642144719292,ENSSSCG00000000068,EP300,condition[T.PA]
ENSSSCG00000000071,2338.7609386057757,-0.7565817580358327,1.954826356960145,-0.3870327179404089,0.6987319864354418,0.9999642144719292,ENSSSCG00000000071,ST13,condition[T.PA]
