pig_gene,factor,pig_GV_mean,human_mean,human_var,mouse_mean,mouse_var,in_human,in_mouse
ACTB,F1,7.574302712202752,265.3424137931035,31780.586026108376,120.77058823529411,9812.062205882354,True,True
AKIRIN2,F1,7.71298743333737,247.5620689655173,23583.58068128079,159.1764705882353,9853.310661764706,True,True
ANXA2,F1,6.813458280447959,24.192413793103444,5809.874468965516,4.264705882352941,32.16742647058823,True,True
ANXA5,F1,6.7932693065720064,32.42793103448276,1488.5458955665024,2.935294117647059,14.663676470588237,True,True
ARRDC4,F1,6.828955111307428,0.5227586206896552,1.6054635467980292,0.5705882352941176,0.9659558823529412,True,True
ASNS,F1,6.941816331142481,0.8910344827586207,1.7353381773399017,2.2117647058823535,13.13235294117647,True,True
ASTN1,F1,7.927752292288398,,,,,False,False
ATXN2,F1,7.061381561395233,21.08241379310345,529.6375046798029,32.06470588235294,474.8661764705882,True,True
BTG4,F1,7.595642034003905,712.3648275862067,1033805.0648330048,666.7588235294118,637573.0288235295,True,True
CALU,F1,6.617182794950137,55.84620689655172,1876.183681527094,53.435294117647054,990.4599264705882,True,True
CBLL1,F1,7.394562329929132,17.03655172413793,216.99553054187191,24.38823529411765,257.21235294117645,True,True
CTSB,F1,7.84191700465832,58.86793103448276,1953.2810241379307,82.83529411764707,7325.114926470588,True,True
DNMT1,F1,9.562911371457826,351.79275862068965,83597.79870640393,40.1,3470.7837500000005,True,True
DPPA5,F1,7.958466086322877,11169.476896551718,22240215.04835788,,,True,False
EEF1G,F1,6.287099726734233,26.974137931034473,334.7060465517241,5.570588235294117,37.900955882352946,True,True
EGR1,F1,5.7319458749502985,6.007931034482758,197.07940985221677,3.2294117647058824,24.68345588235294,True,True
EIF4G2,F1,7.527802717401995,356.7286206896552,33318.07638374384,302.40588235294115,25085.013088235293,True,True
F3,F1,6.321411502435201,1.3344827586206898,11.736361330049263,0.38235294117647056,1.1065441176470585,True,True
FDFT1,F1,7.630766452068917,227.8893103448276,66105.01840665024,50.21764705882353,788.337794117647,True,True
FTL,F1,6.516857891148499,3730.8062068965514,24390650.837910097,,,True,False
GSTA4,F1,5.8038696426571095,1.0579310344827588,5.596531280788176,12.5,57.29375,True,True
HIF1A,F1,6.8122938036138665,28.07448275862069,808.2283256157634,33.46470588235294,2586.8761764705887,True,True
HSPA5,F1,7.305018623090735,76.05,8293.991314285715,141.59411764705885,18796.059338235293,True,True
LAPTM4B,F1,6.513601988612386,184.40586206896546,14919.53061083744,211.2705882352941,80506.00220588234,True,True
MCUB,F1,7.611456398613324,,,,,False,False
MMADHC,F1,6.304148038207517,124.25379310344827,24742.548610098525,54.37647058823529,2321.440661764706,True,True
NAT10,F1,7.604186352612151,5.752068965517242,24.005166995073886,21.994117647058825,117.21058823529413,True,True
PKM,F1,7.149628513197939,,,,,False,False
PRKAR1A,F1,6.543782077745548,27.21068965517241,436.4720780788178,26.205882352941178,155.9593382352941,True,True
PTP4A1,F1,5.90695411228875,74.08896551724138,5667.397652463054,5.094117647058823,16.466838235294116,True,True
RAB13,F1,5.974002870932297,4.435517241379311,56.60260418719213,1.258823529411765,0.8550735294117648,True,True
RARRES1,F1,8.624624516423104,0.503448275862069,3.245466256157634,,,True,False
RPIA,F1,6.985913762995271,44.21965517241379,3322.2382677339906,17.241176470588236,123.70007352941178,True,True
SBDS,F1,5.5655346901225204,70.18896551724139,8369.710073891627,121.22941176470589,1287.8747058823528,True,True
SERPINE2,F1,7.053334770539867,13.283103448275865,172.51172216748768,86.58235294117648,17384.492794117643,True,True
SLC25A3,F1,6.412097165008001,168.7031034482759,9945.891650738919,360.0411764705882,136556.2000735294,True,True
SQSTM1,F1,6.863618825358315,35.95344827586207,504.14683768472906,7.6,26.332500000000003,True,True
TKT,F1,6.422130426612756,4.083793103448276,27.31868866995074,4.188235294117647,23.449852941176474,True,True
TSPAN3,F1,7.622847432870172,2.9027586206896556,37.8355921182266,6.258823529411765,56.61257352941177,True,True
UHRF2,F1,7.230893436948578,98.98517241379314,10176.59604729064,1.647058823529412,6.98639705882353,True,True
VIM,F1,6.437156960105069,1.5655172413793104,17.846704187192113,,,True,False
YWHAH,F1,6.50575542799265,88.7737931034483,3648.9934529556654,4.858823529411765,10.377573529411766,True,True
ZP3,F1,9.647801422976565,851.3086206896552,469375.8264123153,60.05294117647059,2327.4201470588237,True,True
ZP4,F1,9.39439703196728,328.541724137931,42248.090000492615,,,True,False
