factor,view,GO_ID,GO_term,GO_category,k_sig,k_bg,n_sig,n_bg,p_raw,n_genes_sig_total,q_bh
F7,METH_pos,GO:0032190,acrosin binding,Function,3,3,30,2545,1.479537680479363e-06,30,0.001377449580526287
F3,RNA_pos,GO:0032190,acrosin binding,Function,3,3,30,2545,1.479537680479363e-06,30,0.001377449580526287
F1,METH_pos,GO:0032190,acrosin binding,Function,3,3,30,2545,1.479537680479363e-06,30,0.001377449580526287
F7,METH_pos,GO:0007339,binding of sperm to zona pellucida,Process,3,4,30,2545,5.871005736819564e-06,30,0.0027329531704895073
F3,RNA_pos,GO:0007339,binding of sperm to zona pellucida,Process,3,4,30,2545,5.871005736819564e-06,30,0.0027329531704895073
F1,METH_pos,GO:0007339,binding of sperm to zona pellucida,Process,3,4,30,2545,5.871005736819564e-06,30,0.0027329531704895073
F3,RNA_neg,GO:0030027,lamellipodium,Component,3,7,30,2545,5.0153894430900315e-05,30,0.020011403877929226
F7,METH_pos,GO:0060468,prevention of polyspermy,Process,2,2,30,2545,0.0001343737257663936,30,0.02345661350409608
F1,METH_pos,GO:0035804,structural constituent of egg coat,Function,2,2,30,2545,0.0001343737257663936,30,0.02345661350409608
F3,RNA_pos,GO:0035805,egg coat,Component,2,2,30,2545,0.0001343737257663936,30,0.02345661350409608
F1,METH_pos,GO:0035805,egg coat,Component,2,2,30,2545,0.0001343737257663936,30,0.02345661350409608
F1,METH_pos,GO:0060468,prevention of polyspermy,Process,2,2,30,2545,0.0001343737257663936,30,0.02345661350409608
F7,METH_pos,GO:0035805,egg coat,Component,2,2,30,2545,0.0001343737257663936,30,0.02345661350409608
F7,METH_pos,GO:0035804,structural constituent of egg coat,Function,2,2,30,2545,0.0001343737257663936,30,0.02345661350409608
F3,RNA_pos,GO:0060468,prevention of polyspermy,Process,2,2,30,2545,0.0001343737257663936,30,0.02345661350409608
F3,RNA_pos,GO:0035804,structural constituent of egg coat,Function,2,2,30,2545,0.0001343737257663936,30,0.02345661350409608
F6,RNA_neg,GO:0097038,perinuclear endoplasmic reticulum,Component,2,3,30,2545,0.000400162101938222,30,0.04534900712789621
F5,RNA_neg,GO:0002020,protease binding,Function,2,3,30,2545,0.000400162101938222,30,0.04534900712789621
F1,RNA_pos,GO:0044027,negative regulation of gene expression via chromosomal CpG island methylation,Process,2,3,30,2545,0.000400162101938222,30,0.04534900712789621
F1,METH_pos,GO:0044027,negative regulation of gene expression via chromosomal CpG island methylation,Process,2,3,30,2545,0.000400162101938222,30,0.04534900712789621
F1,RNA_pos,GO:0032190,acrosin binding,Function,2,3,30,2545,0.000400162101938222,30,0.04534900712789621
F1,METH_neg,GO:0005243,gap junction channel activity,Function,2,4,30,2545,0.0007944531981396242,30,0.04534900712789621
F1,METH_neg,GO:0005922,connexin complex,Component,2,4,30,2545,0.0007944531981396242,30,0.04534900712789621
F1,METH_neg,GO:0007267,cell-cell signaling,Process,2,4,30,2545,0.0007944531981396242,30,0.04534900712789621
F7,METH_pos,GO:0005125,cytokine activity,Function,2,4,30,2545,0.0007944531981396242,30,0.04534900712789621
F4,RNA_pos,GO:0000281,mitotic cytokinesis,Process,2,4,30,2545,0.0007944531981396242,30,0.04534900712789621
F3,RNA_neg,GO:0014069,postsynaptic density,Component,2,4,30,2545,0.0007944531981396242,30,0.04534900712789621
F1,RNA_pos,GO:0007339,binding of sperm to zona pellucida,Process,2,4,30,2545,0.0007944531981396242,30,0.04534900712789621
F3,RNA_neg,GO:0005886,plasma membrane,Component,8,184,30,2545,0.0009410702719341153,30,0.04534900712789621
F5,METH_neg,GO:0005576,extracellular region,Component,3,18,30,2545,0.0010710186523396918,30,0.04534900712789621
F6,METH_pos,GO:0008250,oligosaccharyltransferase complex,Component,2,5,30,2545,0.001314381585784449,30,0.04534900712789621
F6,RNA_neg,GO:0044782,cilium organization,Process,2,5,30,2545,0.001314381585784449,30,0.04534900712789621
F5,RNA_neg,GO:0006879,intracellular iron ion homeostasis,Process,2,5,30,2545,0.001314381585784449,30,0.04534900712789621
F4,RNA_neg,GO:0016887,ATP hydrolysis activity,Function,4,44,30,2545,0.0015358627461823074,30,0.04534900712789621
F3,METH_pos,GO:0005975,carbohydrate metabolic process,Process,3,21,30,2545,0.0017044216597141186,30,0.04534900712789621
F2,METH_neg,GO:0005783,endoplasmic reticulum,Component,5,78,30,2545,0.0018572639182053356,30,0.04534900712789621
F5,RNA_neg,GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,Process,2,6,30,2545,0.0019571277027941925,30,0.04534900712789621
F6,METH_neg,GO:0030139,endocytic vesicle,Component,2,6,30,2545,0.0019571277027941925,30,0.04534900712789621
F3,RNA_neg,GO:0007156,homophilic cell-cell adhesion,Process,2,6,30,2545,0.0019571277027941925,30,0.04534900712789621
F6,METH_neg,GO:0034472,snRNA 3'-end processing,Process,2,6,30,2545,0.0019571277027941925,30,0.04534900712789621
F1,RNA_pos,GO:0001786,phosphatidylserine binding,Function,2,7,30,2545,0.002719917226139509,30,0.04534900712789621
F2,METH_neg,GO:0031418,L-ascorbic acid binding,Function,2,7,30,2545,0.002719917226139509,30,0.04534900712789621
F1,RNA_pos,GO:0012506,vesicle membrane,Component,2,7,30,2545,0.002719917226139509,30,0.04534900712789621
F3,METH_pos,GO:0009986,cell surface,Component,2,7,30,2545,0.002719917226139509,30,0.04534900712789621
F4,METH_pos,GO:0001786,phosphatidylserine binding,Function,2,7,30,2545,0.002719917226139509,30,0.04534900712789621
F4,METH_pos,GO:0012506,vesicle membrane,Component,2,7,30,2545,0.002719917226139509,30,0.04534900712789621
F2,RNA_pos,GO:0004722,protein serine/threonine phosphatase activity,Function,2,8,30,2545,0.0036000204521164734,30,0.04534900712789621
F5,RNA_pos,GO:0005778,peroxisomal membrane,Component,2,8,30,2545,0.0036000204521164734,30,0.04534900712789621
F7,RNA_neg,GO:0007059,chromosome segregation,Process,2,8,30,2545,0.0036000204521164734,30,0.04534900712789621
F1,METH_neg,GO:0004722,protein serine/threonine phosphatase activity,Function,2,8,30,2545,0.0036000204521164734,30,0.04534900712789621
F6,RNA_pos,GO:0006364,rRNA processing,Process,2,8,30,2545,0.0036000204521164734,30,0.04534900712789621
F6,METH_neg,GO:0032039,integrator complex,Component,2,8,30,2545,0.0036000204521164734,30,0.04534900712789621
F4,METH_pos,GO:0005737,cytoplasm,Component,10,343,30,2545,0.004263411301130182,30,0.04534900712789621
F1,RNA_pos,GO:0003729,mRNA binding,Function,3,29,30,2545,0.0043938845137442865,30,0.04534900712789621
F1,RNA_pos,GO:0005544,calcium-dependent phospholipid binding,Function,2,9,30,2545,0.004594751684269728,30,0.04534900712789621
F6,RNA_pos,GO:0006635,fatty acid beta-oxidation,Process,2,9,30,2545,0.004594751684269728,30,0.04534900712789621
F4,METH_pos,GO:0005544,calcium-dependent phospholipid binding,Function,2,9,30,2545,0.004594751684269728,30,0.04534900712789621
F2,RNA_neg,GO:0007229,integrin-mediated signaling pathway,Process,2,9,30,2545,0.004594751684269728,30,0.04534900712789621
F5,RNA_neg,GO:0019005,SCF ubiquitin ligase complex,Component,2,9,30,2545,0.004594751684269728,30,0.04534900712789621
F4,METH_neg,GO:0003777,microtubule motor activity,Function,2,9,30,2545,0.004594751684269728,30,0.04534900712789621
F6,RNA_neg,GO:0015485,cholesterol binding,Function,2,9,30,2545,0.004594751684269728,30,0.04534900712789621
F7,RNA_pos,GO:0003677,DNA binding,Function,4,61,30,2545,0.005135633555541163,30,0.04534900712789621
F2,METH_pos,GO:0005516,calmodulin binding,Function,2,10,29,2545,0.005332562980673619,29,0.04534900712789621
F3,RNA_neg,GO:0005509,calcium ion binding,Function,4,62,30,2545,0.005444992830789179,30,0.04534900712789621
F5,RNA_pos,GO:0005509,calcium ion binding,Function,4,62,30,2545,0.005444992830789179,30,0.04534900712789621
F7,METH_pos,GO:0008083,growth factor activity,Function,2,10,30,2545,0.0057014686288755665,30,0.04534900712789621
F1,METH_neg,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",Function,2,10,30,2545,0.0057014686288755665,30,0.04534900712789621
F2,RNA_neg,GO:0005925,focal adhesion,Component,2,10,30,2545,0.0057014686288755665,30,0.04534900712789621
F2,METH_pos,GO:0005923,bicellular tight junction,Component,2,11,29,2545,0.0064716673025903716,29,0.04534900712789621
F5,RNA_neg,GO:0005829,cytosol,Component,6,148,30,2545,0.006483688476632603,30,0.04534900712789621
F2,METH_pos,GO:0006468,protein phosphorylation,Process,4,68,29,2545,0.006691400994374029,29,0.04534900712789621
F1,METH_neg,GO:1902600,proton transmembrane transport,Process,2,11,30,2545,0.006917571797898943,30,0.04534900712789621
F6,RNA_neg,GO:0036064,ciliary basal body,Component,2,11,30,2545,0.006917571797898943,30,0.04534900712789621
F1,RNA_neg,GO:0030170,pyridoxal phosphate binding,Function,2,11,30,2545,0.006917571797898943,30,0.04534900712789621
F2,METH_pos,GO:0031410,cytoplasmic vesicle,Component,2,12,29,2545,0.007711331070763156,29,0.04534900712789621
F2,RNA_neg,GO:0007160,cell-matrix adhesion,Process,2,12,30,2545,0.008240503919339288,30,0.04534900712789621
F2,METH_neg,GO:0005506,iron ion binding,Function,2,12,30,2545,0.008240503919339288,30,0.04534900712789621
F6,RNA_pos,GO:0031410,cytoplasmic vesicle,Component,2,12,30,2545,0.008240503919339288,30,0.04534900712789621
F4,RNA_neg,GO:0005667,transcription regulator complex,Component,2,13,30,2545,0.009667749354880933,30,0.04534900712789621
F5,RNA_pos,GO:0005777,peroxisome,Component,2,13,30,2545,0.009667749354880933,30,0.04534900712789621
F4,METH_neg,GO:0045893,positive regulation of DNA-templated transcription,Process,2,13,30,2545,0.009667749354880933,30,0.04534900712789621
F6,METH_pos,GO:0005777,peroxisome,Component,2,13,30,2545,0.009667749354880933,30,0.04534900712789621
F4,RNA_pos,GO:0003724,RNA helicase activity,Function,2,14,30,2545,0.011196833524764808,30,0.04534900712789621
F3,METH_neg,GO:0007018,microtubule-based movement,Process,2,14,30,2545,0.011196833524764808,30,0.04534900712789621
F2,RNA_neg,GO:0005178,integrin binding,Function,2,14,30,2545,0.011196833524764808,30,0.04534900712789621
F4,METH_neg,GO:0007018,microtubule-based movement,Process,2,14,30,2545,0.011196833524764808,30,0.04534900712789621
F2,METH_pos,GO:0015421,ABC-type oligopeptide transporter activity,Function,1,1,29,2545,0.011394891944990177,29,0.04534900712789621
F2,METH_pos,GO:0090374,oligopeptide export from mitochondrion,Process,1,1,29,2545,0.011394891944990177,29,0.04534900712789621
F2,METH_pos,GO:0008432,JUN kinase binding,Function,1,1,29,2545,0.011394891944990177,29,0.04534900712789621
F2,METH_pos,GO:1990244,histone H2AT120 kinase activity,Function,1,1,29,2545,0.011394891944990177,29,0.04534900712789621
F2,METH_pos,GO:1901529,positive regulation of anion channel activity,Process,1,1,29,2545,0.011394891944990177,29,0.04534900712789621
F2,METH_pos,GO:0090314,positive regulation of protein targeting to membrane,Process,1,1,29,2545,0.011394891944990177,29,0.04534900712789621
F2,METH_pos,GO:0006670,sphingosine metabolic process,Process,1,1,29,2545,0.011394891944990177,29,0.04534900712789621
F2,METH_pos,GO:0002055,adenine binding,Function,1,1,29,2545,0.011394891944990177,29,0.04534900712789621
F2,METH_pos,GO:0006168,adenine salvage,Process,1,1,29,2545,0.011394891944990177,29,0.04534900712789621
F2,METH_pos,GO:0003999,adenine phosphoribosyltransferase activity,Function,1,1,29,2545,0.011394891944990177,29,0.04534900712789621
