gene,mean_abs_shap
ACOT9,0.25639838
HYLS1,0.1360484
PHAX,0.116121665
FST,0.09785058
PCMTD1,0.094615474
LGALSL,0.09457867
ZZZ3,0.093605414
THOP1,0.084371045
STEAP2,0.08278121
COG6,0.06485928
KCTD20,0.060990233
POLR3F,0.059326094
TUSC3,0.055227995
GABPB1,0.04793111
GDAP2,0.046434246
TTYH2,0.039759245
TMEM216,0.038715564
CAMK2G,0.036986187
ATP6V1C1,0.036560304
RNF20,0.036479663
FXYD6,0.034518283
ELP4,0.033308893
ANXA2,0.031576633
EFTUD2,0.025955146
ATG3,0.025154471
SLC35A1,0.0247146
TMEM59L,0.02355506
KATNBL1,0.02272233
CLDN7,0.02221341
MOV10,0.021364845
AGA,0.017884374
HAT1,0.016460678
CDH2,0.01582721
APBB2,0.015687315
NECAP2,0.015611006
WDR74,0.015467723
HABP2,0.014527202
ABRACL,0.013457063
ARID4A,0.012981854
NUP160,0.012510175
GPAM,0.011628011
MAPK8IP3,0.011354095
LAPTM4B,0.011170246
PGLS,0.011032999
MARVELD2,0.009168783
SLC27A4,0.008806434
CDK7,0.008595306
ALDH9A1,0.008118656
SDHD,0.0076923496
COBLL1,0.0066957287
KPNA3,0.0066433237
ADPGK,0.006224478
MRPS31,0.0062211314
PGGT1B,0.0058140117
ABCD3,0.005786507
AKT3,0.005342535
ATXN3,0.0053028725
CCDC90B,0.0042460775
ACO1,0.004216827
BMPER,0.0042005386
CLPTM1,0.0041827927
ATF7IP2,0.003899182
ACAA2,0.0038620457
KDM5B,0.0038418777
ERBB3,0.0037236486
PARN,0.0036698743
PDZK1,0.0036676936
ACSF2,0.003653583
CTSL,0.0035312823
LNX1,0.0031664378
POLR3G,0.0025706692
APOE,0.0025176737
GATA2,0.002517181
CDC42EP3,0.0024933696
BOD1L1,0.0024564876
AASDHPPT,0.0024459087
HAX1,0.0024323384
BROX,0.0024313426
AAGAB,0.0024178312
ABCB8,0.0023117198
APC,0.0022629597
