,condition,stage,ref_stage,cell,displacement
0,in_vivo,E2,E2,E2_0,12.132034588167302
1,in_vivo,E2,E2,E2_1,12.636612882168972
2,in_vivo,E2,E2,E2_2,11.697517063769416
3,in_vivo,E2,E2,E2_3,9.752617237426321
4,in_vivo,E2,E2,E2_4,9.215838748340374
5,in_vivo,E2,E2,E2_5,14.184934414815716
6,in_vivo,E2,E2,E2_6,11.96762824651066
7,in_vivo,E2,E2,E2_7,13.149871004731184
8,in_vivo,E2,E2,E2_8,10.581931649861916
9,in_vivo,E2,E2,E2_9,8.911467763043543
10,in_vivo,E2,E2,E2_10,8.568528777611203
11,in_vivo,E2,E2,E2_11,8.712033434363798
12,in_vivo,E2,E2,E2_12,8.355195639497158
13,in_vivo,E2,E2,E2_13,8.845882045126777
14,in_vivo,E2,E2,E2_14,10.335156225703857
15,in_vivo,E2,E2,E2_15,8.347102989601849
16,in_vivo,E3,E3,E3_0,11.964093337387647
17,in_vivo,E3,E3,E3_1,13.791921391656835
18,in_vivo,E3,E3,E3_2,14.935935979680242
19,in_vivo,E3,E3,E3_3,11.115405798376944
20,in_vivo,E3,E3,E3_4,12.600825181198044
21,in_vivo,E3,E3,E3_5,14.036466638057126
22,in_vivo,E3,E3,E3_6,14.824063782076099
23,in_vivo,E3,E3,E3_7,16.204129032392583
24,in_vivo,E3,E3,E3_8,10.631778119138987
25,in_vivo,E3,E3,E3_9,13.663800802690396
26,in_vivo,E3,E3,E3_10,12.401314515032098
27,in_vivo,E3,E3,E3_11,14.215329588299191
28,in_vivo,E3,E3,E3_12,17.001407101595614
29,in_vivo,E3,E3,E3_13,17.436065843696152
30,in_vivo,E3,E3,E3_14,16.787372876089442
31,in_vivo,E3,E3,E3_15,12.462848423568687
32,in_vivo,E3,E3,E3_16,12.879395362332211
33,in_vivo,E3,E3,E3_17,8.552768960036651
34,in_vivo,E3,E3,E3_18,10.83120532347302
35,in_vivo,E3,E3,E3_19,10.578262192012277
36,in_vivo,E3,E3,E3_20,9.09124878485852
37,in_vivo,E3,E3,E3_21,15.557058863439163
38,in_vivo,E3,E3,E3_22,11.188766337795931
39,in_vivo,E3,E3,E3_23,8.348909013316023
40,in_vivo,E3,E3,E3_24,9.850231925492155
41,in_vivo,E3,E3,E3_25,9.783970846243811
42,in_vivo,E3,E3,E3_26,12.745912930360218
43,in_vivo,E3,E3,E3_27,13.233411683339895
44,in_vivo,E3,E3,E3_28,8.487905483237105
45,in_vivo,E3,E3,E3_29,17.951362198056685
46,in_vivo,E3,E3,E3_30,10.253890091703418
47,in_vivo,E3,E3,E3_31,14.499233811187176
48,in_vivo,E3,E3,E3_32,8.444371645211202
49,in_vivo,E3,E3,E3_33,8.571145873747104
50,in_vivo,E3,E3,E3_34,8.761241871296535
51,in_vivo,E3,E3,E3_35,8.584707238282695
52,in_vivo,E3,E3,E3_36,8.356724993899485
53,in_vivo,E3,E3,E3_37,8.782432113126188
54,in_vivo,E3,E3,E3_38,9.153701256145023
55,in_vivo,E3,E3,E3_39,8.908019064302817
56,in_vivo,E3,E3,E3_40,9.071457587066474
57,in_vivo,E3,E3,E3_41,9.442678578031396
58,in_vivo,E3,E3,E3_42,9.371025137714351
59,in_vivo,E3,E3,E3_43,9.391682874254176
60,in_vivo,E3,E3,E3_44,9.011296852595795
61,in_vivo,E3,E3,E3_45,8.61631020224279
62,in_vivo,E3,E3,E3_46,8.679737038295764
63,in_vivo,E3,E3,E3_47,10.447999364121346
64,in_vivo,E3,E3,E3_48,8.83046887564851
65,in_vivo,E3,E3,E3_49,8.821667104517513
66,in_vivo,E3,E3,E3_50,8.673036849664625
67,in_vivo,E3,E3,E3_51,8.778076686438135
68,in_vivo,E3,E3,E3_52,8.957049490376674
69,in_vivo,E3,E3,E3_53,8.647268647833291
70,in_vivo,E3,E3,E3_54,9.013638998090542
71,in_vivo,E3,E3,E3_55,9.275900312461383
72,in_vivo,E3,E3,E3_56,8.815944250442708
73,in_vivo,E3,E3,E3_57,9.428348574861182
74,in_vivo,E3,E3,E3_58,8.558116775753732
75,in_vivo,E3,E3,E3_59,8.662622296776988
76,in_vivo,E3,E3,E3_60,10.211403843927627
77,in_vivo,E3,E3,E3_61,8.462493722579923
78,in_vivo,E3,E3,E3_62,8.433685224696053
79,in_vivo,E3,E3,E3_63,8.934429198409214
80,in_vivo,E3,E3,E3_64,10.003572322898277
81,in_vivo,E3,E3,E3_65,8.916502810899473
82,in_vivo,E3,E3,E3_66,8.40580880275602
83,in_vivo,E3,E3,E3_67,11.110678849854198
84,in_vivo,E3,E3,E3_68,9.664555739376063
85,in_vivo,E3,E3,E3_69,9.472351287086218
86,in_vivo,E3,E3,E3_70,8.716562363461234
87,in_vivo,E3,E3,E3_71,8.645357844713402
88,in_vivo,E3,E3,E3_72,9.161237785711517
89,in_vivo,E3,E3,E3_73,9.053994416559204
90,in_vivo,E3,E3,E3_74,9.316668701523824
