stage,gly_mean,ox_mean,ratio,n
E0,1.8475064348476045,3.685804962710381,0.5012491025777277,4
E1,1.2664233959373714,3.223223179599555,0.3929058961922859,6
E2,1.8342235439498917,3.258277458614824,0.5629427087220005,16
E3,1.3185501489474412,2.8858074378033485,0.4569085681552004,97
E4,1.3743216231582995,4.28342014383633,0.3208467938704134,30
E5,1.3945693056300887,4.4213324193669195,0.315418333253393,94
E6,1.6648629221555453,5.007523110575335,0.3324723385329597,107
E7,1.7146356133679455,4.851915979153959,0.35339350829669475,120
E8,1.8892663402748793,4.748516070924815,0.39786457665463526,167
E9,2.3011223608616476,5.026971486138847,0.4577552036308761,66
E10,2.4901280934105126,5.19898204096851,0.4789645490210205,132
E11,2.3493898731573473,4.647622364675177,0.5055036067386061,148
E12,1.87730833514252,4.250132140675144,0.44170587374425635,73
E13,2.353336642639865,4.716562823602845,0.4989516149077186,135
E14,2.4159187121064427,4.45181220252691,0.5426820801893469,174
